Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
Infinix,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,52990
APPLE,MAC ,Apple M1,DDR4,16 GB,SSD,512 GB,124990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
RedmiBook,MAC ,Intel Core i3,DDR4,8 GB,SSD,256 GB,31990
Acer,MAC ,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,66990
DELL,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,89081
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
APPLE,MAC ,Apple M1,DDR4,8 GB,SSD,512 GB,104990
Lenovo,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,53490
ASUS,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,45990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,45990
MSI,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,51990
HP,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,75990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
HP,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,78800
HP,Windows 11,AMD Athlon Dual Core,DDR4,8 GB,SSD,512 GB,29390
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,30990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,62490
ASUS,Windows 11,Intel Core i7,DDR4,16 GB,SSD,512 GB,89990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
HP,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,58899
MSI,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,85990
DELL,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,HDD,1 TB,33099
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
Lenovo,Windows 11,Intel Core i5,DDR4,8 GB,HDD,1 TB,63490
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38990
HP,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,67990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
HP,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39790
APPLE,MAC ,Apple M1 Pro,Unified Memory,16 GB,SSD,1 TB,241990
APPLE,MAC ,Apple M1,DDR4,8 GB,SSD,512 GB,104990
DELL,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,42190
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,99990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
APPLE,MAC ,Apple M1 Max,Unified Memory,32 GB,SSD,1 TB,309490
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,HDD,1 TB,64990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,89990
ASUS,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,85990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
APPLE,MAC ,Apple M1 Pro,Unified Memory,16 GB,SSD,1 TB,222990
Ultimus,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,SSD,128 GB,15990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
DELL,Windows 11,Intel Core i3,DDR4,8 GB,HDD,1 TB,45900
ASUS,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,79990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,56990
DELL,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,34990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,43580
Lenovo,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,74990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
